Altium Designer Pick and Place Locations
C:\Users\Foxy\Documents\GitHub\RP2040-CRSF-Controller\PCB\Project Outputs\Pick Place\Pick Place for Pico-CRSF.txt

========================================================================================================================
File Design Information:

Date:       13-02-24
Time:       15:03
Revision:   c6519b640d864a322c1399c100d97f3708cf04a9
Variant:    No variations
Units used: mil

Designator Comment               Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                        
J6         TSW-102-26-G-S        TopLayer    SMTC-TSW-102-26-XX-S             1427.000      1900.000      180      "0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 2-Pin, Male, RoHS"                 
J2         TSW-102-26-G-S        TopLayer    SMTC-TSW-102-26-XX-S             450.000       1354.000      90       "0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 2-Pin, Male, RoHS"                 
Y1         ABLS-12.000MHZ-B4-T   TopLayer    ABLS                             988.252       396.701       0        "Crystal or Oscillator"                                                                                            
U3         S25FL128LAGMFI010     TopLayer    SOIC127P800X216-8N               630.000       1339.000      90       "CYPRESS SEMICONDUCTOR - S25FL128LAGMFI010 - FLASH MEMORY, 128MBIT, 133MHZ, SOIC-8"                                
U2         RP2040CT              TopLayer    QFN40P700X700X90_HS-57N          984.252       950.000       0        "RASPBERRY-PI RP2040CT"                                                                                            
U1         NCP1117ISTAT3G        TopLayer    SOT230P700X180-4N                1584.000      1294.000      270      "Positive Adjustable 1 Output 1 A Linear Voltage Regulator IC - SOT-223"                                           
TP4        TestPoint             BottomLayer TestPoint-Footprint-1            1031.000      1841.000      90       "Test point for circuit testing."                                                                                  
R9         CR0402AFX-1001GAS     TopLayer    FP-CR0402-IPC_C                  979.000       564.000       180      "Fixed Resistor, Metal Glaze/thick Film, 0.063W, 1000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"         
R8         CR0402AFX-1001GAS     TopLayer    FP-CR0402-IPC_C                  498.000       1110.000      0        "Fixed Resistor, Metal Glaze/thick Film, 0.063W, 1000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"         
R7         CR0402AFX-1001GAS     TopLayer    FP-CR0402-IPC_C                  763.000       1109.000      0        "Fixed Resistor, Metal Glaze/thick Film, 0.063W, 1000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"         
R6         CR0402-FX-27R0GLF     TopLayer    FP-CR0402-IPC_C                  1055.000      1189.000      270      "Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 27ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"          
R5         CR0402-FX-27R0GLF     TopLayer    FP-CR0402-IPC_C                  1002.000      1189.000      270      "Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 27ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"          
R4         RC0402FR-071R         TopLayer    RESC1005X40X25NL05T10            1394.000      1086.000      90       "Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 1.1ohm, 50V, 1% +/-Tol, 200ppm/Cel, Surface Mount, 0402"         
R3         CR0402-FX-2000GLF     TopLayer    FP-CR0402-IPC_C                  1481.000      1085.000      270      "Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 200ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"         
R2         RC0402JR-07300RL      TopLayer    RESC1005X40X25NL05T10            1772.000      1417.000      90       "Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 300ohm, 50V, 5% +/-Tol, 100ppm/Cel, Surface Mount, 0402"         
